,ID,User,Follower Count,Tweet,Created At,Favourite Count,Retweet Count
0,1521396954391097344,Heartsong Live,3243,#Nowplaying Natalie Grant - My Weapon on https://t.co/bZBEB8QVo4 #heartsongliveradio,2022-05-03 07:51:14,0,0
1,1521396953652768768,NiaRadioNetwork.com,13288,#NowPlaying Keep On Praying by W. T. Greene on #WNIAGospelRadio #WTGreene #ListenLive https://t.co/rq3bHn2JfF | WE ARE ON THE TUNEIN APP! https://t.co/p3XKpyuLYy,2022-05-03 07:51:14,0,0
2,1521396949987041280,Urban Xtra Radio,362,#Nowplaying #DJ Zinc - Wile Out (feat. Ms Dynamite),2022-05-03 07:51:13,0,0
3,1521396936225529857,📡🎶 RADIO - DARK - TUNNEL,10505,"#NowPlaying 🎶🎵 On 🐦@RDTVF : 
🎶📀MARTIN  #LiveOnAir    🎶🎵 The Evil Dark 🇺🇸 - The Flesh Is Weak -
🎶Visit https://t.co/bpMXhHaCXf🎶 
🐦                   

#TuneIn📡 🌍🌏https://t.co/f56KY71jVE 👀 SUPPORTS #ARTISTS ACROSS THE #MUSIC #UNIVERSE!!💫🎧  🔰🔰CLICK ME 🔰🔰",2022-05-03 07:51:10,0,0
4,1521396934111641600,J.A.M. RADIO,2686,#NowPlaying Key to the Highway By @DerekTVShow #Listen on https://t.co/q5bQfwDPsa Stream https://t.co/SWuYJJEk9g  #rock #folkmusic #BluesMusic #blues #folk #music #rockmusic #bluesrock #classicrock https://t.co/HuJFA0hc1L,2022-05-03 07:51:09,0,0
5,1521396932731564032,New Jazz iRadio,285,#NowPlaying Brian Culbertson; Johnathan Butler - Changing Tides on https://t.co/Ka2VZilVJ9,2022-05-03 07:51:09,0,0
6,1521396932480053248,HotHitsUK,1415,"#NowPlaying La Danza by John Summit #listen at https://t.co/VpnQNUIxMJ &amp; https://t.co/O2PeOxhBNQ @TuneIn
 Buy song https://t.co/iMVrckkzSE https://t.co/osFHAib2Zk",2022-05-03 07:51:09,0,0
7,1521396930500247554,BondfireRadio | Radio Station,2533,#NowPlaying Brand New Funk by DJ Jazzy Jeff &amp; the Fresh Prince listen live on https://t.co/cmU7NoHbWC #Radio #NYC https://t.co/6bKlnu1ahD,2022-05-03 07:51:09,0,0
8,1521396923994836992,まっつみぃ㌠,1166,"#nowplaying: ""花道!! ア～ンビシャス"" from ""SUPER★CASTLE"" by SUPER☆GiRLS (再生回数: 38) #songsinfo",2022-05-03 07:51:07,0,0
9,1521396920945627139,Mill City Radio 🇺🇦,2660,#NowPlaying on https://t.co/TRnnbowV7G: What I Put You Through by @ConorMaynard,2022-05-03 07:51:06,0,0
10,1521396912955527168,RCCH,23,#NowPlaying Oasis - Supersonic https://t.co/aCmewwR9bL,2022-05-03 07:51:04,0,0
11,1521396911483330560,Radio Tempête Bot,267,#NowPlaying sur Radio Tempête : The Japanese House - I Saw You In A Dream https://t.co/6x13VTHbm5,2022-05-03 07:51:04,0,0
12,1521396876343660545,AKI@NowPlaying,865,"#NowPlaying #Driven By Desire / #James Byrd's Atlantis Rising
音と写真　https://t.co/XK2imqHBoP",2022-05-03 07:50:56,0,0
13,1521396866562367488,DISCONET.FM,1265,#NowPlaying Power Station - Some Like It Hot | #80s #disco #funk #radio #request |  [[[[[[    TUNE IN:  https://t.co/e1denbDDlz   |   REQUEST:  https://t.co/0gncOlaqZy    ]]]]]],2022-05-03 07:50:53,0,0
14,1521396864536707073,なうぷれ⚔️,27,【鏡音リン】　Cullet　【オリジナル曲】 https://t.co/qEhbTRDJFo #sm17198486 #nowplaying #nicobox,2022-05-03 07:50:53,0,0
15,1521396861088804865,J1 XTRA 平成 - JPOP Hits of the Heisei,63,J1 XTRA: [17:50] #NowPlaying Rekishi (レキシ) - Shikibu fea Awa no Odoriko (SHIKIBU feat. 阿波の踊り子) ~ 21 listeners #JPOP,2022-05-03 07:50:52,0,0
16,1521396859725434880,Straightforward Boy,111,"#NowPlaying ""Side Effects"" by Mariah Carey from ""E=MC²""",2022-05-03 07:50:52,0,0
17,1521396847121772544,Darkitalia Staff,1095,"#NowPlaying  La Grazia Obliqua - Radio Darkitalia Promo  
#webradio #onair
listen now for free:
https://t.co/VpFwBRdchf",2022-05-03 07:50:49,0,0
18,1521396845276274690,CoEsRadio.com,1900,#NowPlaying Por eso estoy aqui by Los Hijos del Reyhttps://listen.samcloud.com/w/79535/CoEsRadiocom-HD-Miami https://t.co/T1ebbtTcHp,2022-05-03 07:50:48,0,0
19,1521396833427283970,TrancePulse Dublin,2995,#NowPlaying #TranceFamily #Trance Steve Morley - Reincarnations (DuMonde Remix) https://t.co/Gd9nLgJhCD https://t.co/VEivBsGArJ,2022-05-03 07:50:45,0,0
20,1521396832026472451,Chill-On-The-Go,60,#nowplaying on https://t.co/c2foLhmvf3 : Manzel &amp; The Soul Syndicate - Can You Feel My Love,2022-05-03 07:50:45,0,0
21,1521396828339683329,Sno-Dawgg Radio,56,"DJ Sno-Dawgg #NowPlaying Big Disco Ball by Josh Woodward - Buy: https://t.co/Rp3OIrGPVh
#SnoDawggRadio - We are a Free Internet Radio Station! On Web/Roku/YouTube! https://t.co/Be5eqbgnd8",2022-05-03 07:50:44,0,0
22,1521396823444934656,DJ Saman K,71005,#NowPlaying dont worry (remix) by dRem tgi /@dremtgi |[https://t.co/RnpYhBb5qO] listen now {https://t.co/U0PUtpbZdu} #dremtgi #dremstuff,2022-05-03 07:50:43,0,0
23,1521396819506642955,星空 秋,1837,"良すぎる

Your Name 44.1kHz/16bit by Little Glee Monster on #onkyo #hfplayer #nowplaying
https://t.co/Wc2wvVY2xA",2022-05-03 07:50:42,0,0
24,1521396805027524608,318 LIVE FM,207,#NowPlaying DaBaby and Lil Wayne - Lonely :: Tune In: https://t.co/69NLBvrJMY,2022-05-03 07:50:39,0,0
25,1521396804826320899,J1 GOLD 昭和 - Legendary Songs of the Showa,39,J1 GOLD: [17:50] #NowPlaying Miyako Harumi (都はるみ) - Suki ni Natta Hito (好きになった人) ~ 108 listeners #JPOP,2022-05-03 07:50:39,0,0
26,1521396803479953408,Booster Radio,50,"#NowPlaying Pa Ti Pa Mi (feat. Marco Hinojosa) by Don Latino, Pancho Bjahhttps://listen.samcloud.com/w/70025/Booster-radio https://t.co/6tIChA91dZ",2022-05-03 07:50:38,0,0
27,1521396800577585152,medline bradley,401732,#Nowplaying A Beautiful Gift To The World - Trevor Gear /@trevorgear listen now at {https://t.co/5B9EJ3yqSV} #dremstuff #dremtgi,2022-05-03 07:50:38,0,0
28,1521396798186688512,れおん🎧️⚾️🎨🎬️😸,1917,FireHouse - Love Don't Care #NowPlaying https://t.co/pKRtJFiPYt,2022-05-03 07:50:37,0,0
29,1521396793384132608,Keep the faith Internet radio,359,#NowPlaying Just Like We Never Said Goodbye by Stylistics on Keep The Faith Internet Radio,2022-05-03 07:50:36,0,0
30,1521396791551438849,RejoiceAmericaRadio,16900,#NowPlaying I Will Find a Way by @RealFredHammond Listen online at https://t.co/uCKDOQnTOP https://t.co/Lb7IL7O1y6,2022-05-03 07:50:35,0,0
31,1521396784572280832,きこりん,89,#Nowplaying 水星 (Arranged cover) - エノ(CV.荻野葉月) https://t.co/xN0Yf5K06A,2022-05-03 07:50:34,0,0
32,1521396775352999936,SUN Now Play 📻,490,♫ The Wiseguys - Ooh La La (1998) https://t.co/wYS8rSPP1c #NowPlaying https://t.co/iR58kTBj8G,2022-05-03 07:50:32,0,0
33,1521396762111582208,Radio3 whats-on bot,26,Philip Wilby - Into The Light https://t.co/hVRW0Pfuuv #NowPlaying #BBCRadio3,2022-05-03 07:50:28,0,0
34,1521396761750908928,📡🎶 RADIO - DARK - TUNNEL,10505,"#NowPlaying 🎶🎵 On 🐦@RDTVF : 
🎶📀🎶🎵 Sapphira Vee 🇺🇸
🎶Too Many (Some-E Remix) 🎶 
🐦 @Sapphira_Music

#TuneIn📡 🌍🌏https://t.co/kSaWxc9x8T 👀 SUPPORTS #ARTISTS ACROSS THE #MUSIC #UNIVERSE!!💫🎧  🔰🔰CLICK ME 🔰🔰",2022-05-03 07:50:28,0,0
35,1521396759737470977,juke80s,525,"#NowPlaying  ""It's My Life"" by Bon Jovi",2022-05-03 07:50:28,0,0
36,1521396753789947905,Hope Radio,2620,#NowPlaying Karen Clark Sheard - We Acknowledge You :: Tune In: https://t.co/srt7CxXKlf,2022-05-03 07:50:26,0,0
37,1521396741572120576,The pretty BBC Radio 3 🎶 #NowPlaying Bot,240,"🔊 #NowPlaying on #BBCRadio3's #Breakfast 🕊️ 

Philip Wilby, Cory Band &amp; Robert Childs:
  🎵 Into the Light

#PhilipWilby #CoryBand #RobertChilds 

https://t.co/kyParumyEV",2022-05-03 07:50:24,0,0
38,1521396721657466880,Orlando,3387,#NowPlaying Sérgio Mendes feat.mp3 by Waters Of March,2022-05-03 07:50:19,0,0
39,1521396715043106816,StudioSounds Radio,13347,#Studiosounds is #Nowplaying 89ers - Wap Bam Boogie #Dance (Affiliate link #AD) https://t.co/0MStqA577P https://t.co/eMiBHefwPm,2022-05-03 07:50:17,0,0
40,1521396709703798786,YLR Gold Channel,1266,#NowPlaying Marvelous Things by Chris Wesley &amp; Undignified Praise Featuring Crystal Aiken,2022-05-03 07:50:16,0,0
41,1521396708269334533,Radio WHAT,7438,#NowPlaying Olivia Holt - Generous https://t.co/oBBaLwbvsM #ListenLive,2022-05-03 07:50:16,0,0
42,1521396700107190272,Treehouse Radio,715,#NowPlaying in the Treehouse : Female by @KeithUrban ... listen via #TuneIn on your smart phone or smart speaker #THRadio,2022-05-03 07:50:14,0,0
43,1521396699566014464,石川ウグイス,88,"椎名豪が好きなんですよ

#NowPlaying InFINITE Line - 米倉千尋 (9-nine-Songbook) https://t.co/Jugn47GC0f",2022-05-03 07:50:14,0,0
44,1521396697431216129,The Source:Smooth Jazz Radio KJAC.DB,3754,"#NowPlaying Darryl Hall &amp; John Oates - Promise Ain't Enough :: Tune In : https://t.co/PA3x4XaDq9
 - Buy It https://t.co/hlWZR6IDnC",2022-05-03 07:50:13,0,0
45,1521396694797422592,College Underground,2279,#NowPlaying on #CollegeUndergroundRadio Jennie Angel - Girl Next Door,2022-05-03 07:50:12,0,0
46,1521396692658102273,SexyBlack Radio,176,#NowPlaying: Slow by Smoothe Sylk | Tune in to #SexyBlackRadio (link in bio) #music #Rnb #hiphop #pop https://t.co/LPxxvJaIfl,2022-05-03 07:50:12,0,0
47,1521396690280136704,あべちゃん,1223,はなびら by back number #NowPlaying https://t.co/43MEf6FPPb,2022-05-03 07:50:11,0,0
48,1521396687616581632,WildVibes Radio,696,#NowPlaying : Boogie on My Mind - Michael Pewny,2022-05-03 07:50:11,0,0
